id,question,answer,parent_id,tags,priority,purpose,chunk_type
77,"繁忙期に長期預り割引プランは利用できますか？","繁忙期には長期預り割引プランの適用はございません。\n\n【注意事項】\n・システム上、繁忙期でも割引プランでのご予約が受付される場合がありますが、繁忙期中のご予約には割引が適用されませんのでご了承ください。\n・ご不明な点がございましたら、事前にお問い合わせください。","18","peak_season,繁忙期対応,割引プラン,適用外,システム制限","最重要","繁忙期における割引制限の明確化","child"
78,"繁忙期の利用制限について教えてください。","繁忙期には以下の制限がございます：\n・大型車プランの受け入れ不可\n・長期預り割引プランの適用外","18","peak_season,繁忙期対応,利用制限,総合案内","最重要","繁忙期における全般的な利用制限の明確化","child"
79,"繁忙期の予約のコツはありますか？","繁忙期のご予約には以下のポイントにご注意ください：\n・早めの予約をおすすめします（繁忙期は予約が埋まりやすいため）\n・長期預り割引プランは適用されません\n・大型車プランはご利用いただけません\n・ご不明点はWeb『Information』をご確認ください（https://park-ride.net/）","18","peak_season,繁忙期対応,予約方法,予約コツ","高","繁忙期の予約方法に関する具体的なガイダンス提供","child"
80,"繁忙期の料金体系を教えてください。","繁忙期の料金体系につきましては、最新の情報をWebサイト（https://park-ride.net/）でご確認ください。","18","peak_season,繁忙期対応,料金体系,確認案内","高","繁忙期料金の最新情報の提供","child"
81,"繁忙期にコンパクトカープランは利用可能ですか？","コンパクトカープランは繁忙期に関係なくご利用いただけます。","18","peak_season,繁忙期対応,コンパクトカー,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消","child"
82,"繁忙期に軽自動車プランを利用できますか？","軽自動車プランは繁忙期に関係なくご利用いただけます。","18","peak_season,繁忙期対応,軽自動車,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消","child"
83,"繁忙期の予約キャンセルルールを教えてください。","繁忙期のキャンセルルールは、通常のキャンセルルールと同様です。詳細はWebサイト（https://park-ride.net/）をご確認ください。","18","peak_season,繁忙期対応,キャンセルルール,確認案内","高","繁忙期のキャンセル規定の明確化","child"
84,"繁忙期はいつですか？","当駐車場における繁忙期とは、旅行者が多くなる期間（例：お盆やゴールデンウィーク）を指します。繁忙期の最新情報はWebサイト（https://park-ride.net/）でご確認ください。","18","peak_season,繁忙期,日程確認,最新情報,案内","高","繁忙期の日程に関する案内の明確化","child"
85,"繁忙期の期間を教えてください。","繁忙期に関する情報はWebサイト（https://park-ride.net/）でご確認ください。【補足】具体的なご旅行予定を教えていただければ、該当する繁忙期かどうかご案内可能です。","18","peak_season,繁忙期,日程確認,旅行予定,案内","高","繁忙期の特定期間に関する柔軟な案内","child"
86,"繁忙期が始まるのはいつですか？","最新の繁忙期情報はWebサイト（https://park-ride.net/）にてご確認いただけます。例年、繁忙期にはお盆（8月中旬）やゴールデンウィーク（4月下旬〜5月初旬）が含まれます。","18","peak_season,繁忙期,開始日,日程確認,最新情報,案内","高","繁忙期開始日の明確化","child"
87,"ピーク期間はいつですか？","当駐車場の繁忙期情報はWebサイト（https://park-ride.net/）でご確認ください。例年、繁忙期には特定の旅行シーズンが含まれます。具体的な日程については最新情報をご参照ください。","18","peak_season,繁忙期,ピーク期間,最新情報,案内","高","ピーク期間に関する明確な案内","child"
88,"満車の場合の対応について教えてください","当駐車場では以下の対応を行っております：\n\n1. キャンセル待ちはできません。軽自動車枠への車種変更が可能な場合、21時以降にお電話でご相談ください。\n2. キャンセル枠はWebサイトに順次反映されますが、即時反映されない場合があります。\n3. 満車日の分割予約は全てキャンセル対象となります。\n\n【注意】当駐車場は満車の場合の代替案をご案内しておりません。詳細はWebサイト（https://park-ride.net/）をご確認ください。","19","full_parking_responses,満車対応,キャンセル枠,分割予約禁止","高","満車時の対応方法を明確化し、利用者の疑問や不安を解消する。","child"
89,"空きが出た場合の通知を受け取ることはできますか？","キャンセル待ちはできません。当駐車場では、空きが出た場合の個別通知は行っておりません。空き状況はWebサイトをご確認ください。","19","full_parking_responses,空き状況,通知不可","中","空き状況に関する問い合わせを減らす。","child"
90,"軽自動車枠について相談するにはどうしたら良いですか？","軽自動車枠への車種変更が可能な場合、21時以降にお電話でご相談いただけます。ただし、軽自動車枠が既に満車の場合はご対応できませんのでご了承ください。キャンセル待ちはできません。","19","full_parking_responses,軽自動車枠,相談","中","軽自動車枠に関する特例について案内し、利用者の選択肢を提供する。","child"
91,"分割予約は禁止されていますか？","はい、満車日を挟む複数の分割予約は禁止されています。\n\n【注意】「満車（×）の前の空き日程（例：12月1日〜2日）」を予約。\n「満車（×）の後の空き日程（例：12月4日〜5日）」を予約。\n「満車（×）が空いた場合（例：12月3日）」を予約。\n このような行為は全てキャンセル対象となります。発覚した場合、全ての予約がキャンセル対象となります。","19","full_parking_responses,分割予約,禁止事項","高","分割予約に関するトラブルを防ぐ。","child"
92,"東京方面から大井南出口を利用する場合の道順を教えてください","以下の道順で駐車場にアクセスできます：\n\n【道順】\n1. 首都高速湾岸線「大井南出口」を出て国道357号線を羽田空港方面へ直進。\n2. 2つ目の信号を10mほど過ぎた右側、高架下が駐車場入口です。\n\n【ナビ設定】\n- カーナビでは「パーク＆ライド羽田」を検索してください。\n- 京浜島ふ頭公園付近が表示されます。\n- 公園向かい側、首都高湾岸線高架下が駐車場です。\n- 電話番号では検索できません。\n\n【Google Mapsでの検索】\n1. 「パーク＆ライド羽田」を検索。\n2. オプションから「高速道路を使わない」を選択してください。","20","navigation_and_access,ナビゲーション,東京方面,大井南出口,アクセス方法","高","東京方面からのアクセス方法の明確化","child"
93,"横浜方面から湾岸環八出口を利用する場合の道順を教えてください","以下の道順で駐車場にアクセスできます：\n\n【道順】\n1. 首都高速湾岸線「湾岸環八出口」を出て環七・大井埠頭方面（357号）へ。\n2. 空港北トンネルを出て1つ目の信号を右折。\n3. 次の信号も右折。\n4. 10mほど進んだ右側が駐車場入口です。\n\n【ナビ設定】\n- カーナビでは「パーク＆ライド羽田」を検索してください。\n- 京浜島ふ頭公園付近が表示されます。\n- 公園向かい側、首都高湾岸線高架下が駐車場です。\n- 電話番号では検索できません。\n\n【Google Mapsでの検索】\n1. 「パーク＆ライド羽田」を検索。\n2. オプションから「高速道路を使わない」を選択してください。","20","navigation_and_access,ナビゲーション,横浜方面,湾岸環八出口,アクセス方法","高","横浜方面からのアクセス方法の明確化","child"
94,"東京方面から平和島出口を利用する場合の道順を教えてください","以下の道順で駐車場にアクセスできます：\n\n【道順】\n1. 首都高速1号羽田線「平和島出口」を出て昭和島方面へ進行。\n2. 南海橋を渡り、1つ目の信号を左折。\n3. 京和橋を渡り、国道357号線を羽田空港方面に右折。\n4. 10mほど進んだ右側が駐車場入口です。\n\n【ナビ設定】\n- カーナビでは「パーク＆ライド羽田」を検索してください。\n- 京浜島ふ頭公園付近が表示されます。\n- 公園向かい側、首都高湾岸線高架下が駐車場です。\n- 電話番号では検索できません。\n\n【Google Mapsでの検索】\n1. 「パーク＆ライド羽田」を検索。\n2. オプションから「高速道路を使わない」を選択してください。","20","navigation_and_access,ナビゲーション,東京方面,平和島出口,アクセス方法","中","東京方面からの代替アクセス方法の明確化","child"
95,"横浜方面から羽田出口を利用する場合の道順を教えてください","以下の道順で駐車場にアクセスできます：\n\n【道順】\n1. 首都高速1号羽田線「羽田出口」を出て環状8号線を羽田方面に右折。\n2. 天空橋駅を越えて2つ目の信号を左折。トンネルを出て環七・大井埠頭方面（357号）へ。\n3. 空港北トンネルを出て1つ目の信号を右折。\n4. 次の信号も右折。\n5. 10mほど進んだ右側が駐車場入口です。\n\n【ナビ設定】\n- カーナビでは「パーク＆ライド羽田」を検索してください。\n- 京浜島ふ頭公園付近が表示されます。\n- 公園向かい側、首都高湾岸線高架下が駐車場です。\n- 電話番号では検索できません。\n\n【Google Mapsでの検索】\n1. 「パーク＆ライド羽田」を検索。\n2. オプションから「高速道路を使わない」を選択してください。","20","navigation_and_access,ナビゲーション,横浜方面,羽田出口,アクセス方法","中","横浜方面からの代替アクセス方法の明確化","child"
